model,classifier,nn_number,epochs,batch-size,learning-rate,optimizer,normalize-features,tense,voice,pronouns,named-entities,sentiment,pos-tags,dep-tags,sentences,domain,sentence-similarity,precision,recall,f1,accuracy
nn,-,1,4,12,0.0001,adam,-,+,+,-,+,-,-,-,-,+,-,0.6677442528735632,0.7436,0.7036336109008328,0.6868
nn,-,1,4,12,0.0001,adam,-,+,+,-,+,-,-,-,-,-,-,0.679,0.8148,0.7407272727272727,0.7148
nn,-,1,4,12,0.0001,adam,-,+,+,+,+,-,-,-,-,+,-,0.646,0.646,0.646,0.646
nn,-,1,4,12,0.0001,adam,-,+,-,-,+,-,-,-,-,-,-,0.6166312433581297,0.9284,0.7410600255427842,0.6756
nn,-,1,4,12,0.0001,adam,-,+,+,+,+,-,-,-,-,-,-,0.6679799426934098,0.746,0.7048374905517762,0.6876
nn,-,1,4,12,0.0001,adam,-,+,-,-,+,-,-,-,-,+,-,0.6308892355694228,0.8088,0.7088518843120071,0.6678
nn,-,1,4,12,0.0001,adam,-,+,+,-,-,-,-,-,-,-,-,0.6645396536007293,0.8748,0.7553099637368331,0.7166
nn,-,1,4,12,0.0001,adam,-,-,-,+,+,-,-,-,-,-,-,0.6008362026561731,0.9772,0.7441364605543709,0.664
nn,-,1,4,12,0.0001,adam,-,-,-,+,+,-,-,-,-,+,-,0.6122448979591837,0.912,0.7326478149100257,0.6672
nn,-,1,4,12,0.0001,adam,-,-,+,-,+,-,-,-,-,+,-,0.6553727008712488,0.8124,0.7254866940525094,0.6926
nn,-,1,4,12,0.0001,adam,-,+,+,+,-,-,-,-,-,-,-,0.6602936155684535,0.7736,0.7124700681525143,0.6878
nn,-,1,4,12,0.0001,adam,-,-,+,-,+,-,-,-,-,-,-,0.5981059485054749,0.8084,0.687531893179112,0.6326
nn,-,1,4,12,0.0001,adam,-,-,+,+,+,-,-,-,-,+,-,0.6413943355119825,0.5888,0.6139728884254431,0.6298
nn,-,1,4,12,0.0001,adam,-,+,-,+,+,-,-,-,-,-,-,0.6143283582089553,0.8232,0.7035897435897437,0.6532
nn,-,1,4,12,0.0001,adam,-,+,-,+,+,-,-,-,-,+,-,0.6164672765657987,0.7008,0.6559341070760014,0.6324
nn,-,1,4,12,0.0001,adam,-,+,+,+,-,-,-,-,-,+,-,0.6315232722143864,0.7164,0.6712893553223389,0.6492
nn,-,1,4,12,0.0001,adam,-,+,+,-,-,-,-,-,-,+,-,0.6691678035470668,0.7848,0.7223858615611194,0.6984
nn,-,1,4,12,0.0001,adam,-,-,+,+,+,-,-,-,-,-,-,0.6074980872226473,0.6352,0.6210402815799766,0.6124
nn,-,1,4,12,0.0001,adam,-,+,-,-,-,-,-,-,-,+,-,0.6187535092644582,0.8816,0.7271527548663806,0.6692
nn,-,1,4,12,0.0001,adam,-,+,-,-,-,-,-,-,-,-,-,0.6058705469141997,0.966,0.7446808510638299,0.6688
nn,-,1,4,12,0.0001,adam,-,+,+,+,+,+,-,-,-,+,-,0.6881390593047034,0.5384,0.604129263913824,0.6472
nn,-,1,4,12,0.0001,adam,-,+,-,+,-,-,-,-,-,+,-,0.5894267078613113,0.6868,0.6343986698688343,0.6042
nn,-,1,4,12,0.0001,adam,-,+,-,+,-,-,-,-,-,-,-,0.6102157880360557,0.8936,0.7252069469242006,0.6614
nn,-,1,4,12,0.0001,adam,-,+,+,-,+,+,-,-,-,-,-,0.707905314872711,0.634,0.6689174931420131,0.6862
nn,-,1,4,12,0.0001,adam,-,+,+,-,+,+,-,-,-,+,-,0.7000883392226148,0.634,0.665407220822838,0.6812
nn,-,1,4,12,0.0001,adam,-,+,+,+,+,+,-,-,-,-,-,0.6896877956480606,0.5832,0.6319895968790638,0.6604
nn,-,1,4,12,0.0001,adam,-,-,+,-,-,-,-,-,-,-,-,0.6029153053531038,0.9596,0.7405463806142923,0.6638
nn,-,1,4,12,0.0001,adam,-,+,-,+,-,+,+,+,-,+,-,0.8287461773700305,0.3252,0.4671071531169204,0.629
nn,-,1,4,12,0.0001,adam,-,+,-,+,+,+,+,+,-,+,-,0.8403908794788274,0.3096,0.4524992692195265,0.6254
nn,-,1,4,12,0.0001,adam,-,+,+,+,-,+,+,+,-,+,-,0.8294314381270903,0.2976,0.43803355902266705,0.6182
nn,-,1,4,12,0.0001,adam,-,+,+,+,+,+,+,+,-,+,-,0.8221757322175732,0.3144,0.45486111111111105,0.6232
nn,-,1,4,12,0.0001,adam,-,+,-,-,+,+,+,+,-,+,-,0.799,0.3196,0.4565714285714285,0.6196
nn,-,2,4,12,0.0001,adam,-,+,+,-,+,-,-,-,-,+,-,0.6819119669876204,0.7932,0.7333579881656804,0.7116
nn,-,2,4,12,0.0001,adam,-,+,+,-,+,-,-,-,-,-,-,0.6871913072110636,0.8348,0.753837818313166,0.7274
nn,-,2,4,12,0.0001,adam,-,+,+,+,+,-,-,-,-,+,-,0.6867658574784652,0.7016,0.6941036802532647,0.6908
nn,-,2,4,12,0.0001,adam,-,+,-,-,+,-,-,-,-,-,-,0.6186623516720604,0.9176,0.7390463917525774,0.676
nn,-,2,4,12,0.0001,adam,-,+,+,+,+,-,-,-,-,-,-,0.6650088809946714,0.7488,0.7044214487300094,0.6858
nn,-,2,4,12,0.0001,adam,-,+,-,-,+,-,-,-,-,+,-,0.6315028901734104,0.6992,0.6636294608959757,0.6456
nn,-,2,4,12,0.0001,adam,-,+,+,-,-,-,-,-,-,-,-,0.6798690671031097,0.8308,0.7477947794779478,0.7198
nn,-,2,4,12,0.0001,adam,-,-,-,+,+,-,-,-,-,-,-,0.6213304605440345,0.9228,0.742636407532593,0.6802
nn,-,2,4,12,0.0001,adam,-,-,-,+,+,-,-,-,-,+,-,0.6107720880870258,0.9208,0.7344074014994416,0.667
nn,-,2,4,12,0.0001,adam,-,-,+,-,+,-,-,-,-,+,-,0.6474747474747474,0.7692,0.7031078610603291,0.6752
nn,-,2,4,12,0.0001,adam,-,+,+,+,-,-,-,-,-,-,-,0.6534586971121558,0.7784,0.710478276743337,0.6828
nn,-,2,4,12,0.0001,adam,-,-,+,-,+,-,-,-,-,-,-,0.6040697674418605,0.8312,0.6996632996632997,0.6432
nn,-,2,4,12,0.0001,adam,-,-,+,+,+,-,-,-,-,+,-,0.6594051110180142,0.6296,0.644157970124821,0.6522
nn,-,2,4,12,0.0001,adam,-,+,-,+,+,-,-,-,-,-,-,0.6067917783735478,0.8148,0.6955779409253885,0.6434
nn,-,2,4,12,0.0001,adam,-,+,-,+,+,-,-,-,-,+,-,0.6271375464684015,0.6748,0.6500963391136801,0.6368
nn,-,2,4,12,0.0001,adam,-,+,+,+,-,-,-,-,-,+,-,0.6439274447949527,0.6532,0.6485305798252582,0.646
nn,-,2,4,12,0.0001,adam,-,+,+,-,-,-,-,-,-,+,-,0.658772874058127,0.7344,0.6945337620578779,0.677
nn,-,2,4,12,0.0001,adam,-,-,+,+,+,-,-,-,-,-,-,0.5895841430237078,0.6068,0.5980682042184113,0.5922
nn,-,2,4,12,0.0001,adam,-,+,-,-,-,-,-,-,-,+,-,0.6088740702744293,0.9496,0.7419909360837631,0.6698
nn,-,2,4,12,0.0001,adam,-,+,-,-,-,-,-,-,-,-,-,0.602743271221532,0.9316,0.7319296040226273,0.6588
nn,-,2,4,12,0.0001,adam,-,+,+,+,+,+,-,-,-,+,-,0.7088948787061995,0.526,0.6039035591274398,0.655
nn,-,2,4,12,0.0001,adam,-,+,-,+,-,-,-,-,-,+,-,0.5876393110435664,0.696,0.637245925654642,0.6038
nn,-,2,4,12,0.0001,adam,-,+,-,+,-,-,-,-,-,-,-,0.6053731343283583,0.8112,0.6933333333333334,0.6412
nn,-,2,4,12,0.0001,adam,-,+,+,-,+,+,-,-,-,-,-,0.709562109025916,0.6352,0.6703250316589278,0.6876
nn,-,2,4,12,0.0001,adam,-,+,+,-,+,+,-,-,-,+,-,0.7119460500963392,0.5912,0.645979020979021,0.676
nn,-,2,4,12,0.0001,adam,-,+,+,+,+,+,-,-,-,-,-,0.6987366375121478,0.5752,0.6309784993418166,0.6636
nn,-,2,4,12,0.0001,adam,-,-,+,-,-,-,-,-,-,-,-,0.6069689982065078,0.9476,0.7399656411057317,0.667
nn,-,2,4,12,0.0001,adam,-,+,-,+,-,+,+,+,-,+,-,0.8443649373881932,0.3776,0.5218352681039249,0.654
nn,-,2,4,12,0.0001,adam,-,+,-,+,+,+,+,+,-,+,-,0.8501387604070305,0.3676,0.5132644512705948,0.6514
nn,-,2,4,12,0.0001,adam,-,+,+,+,-,+,+,+,-,+,-,0.8372641509433962,0.284,0.4241338112305854,0.6144
nn,-,2,4,12,0.0001,adam,-,+,+,+,+,+,+,+,-,+,-,0.8382213812677389,0.3544,0.4981726173741918,0.643
nn,-,2,4,12,0.0001,adam,-,+,-,-,+,+,+,+,-,+,-,0.8235877106045589,0.3324,0.4736392134511257,0.6306
nn,-,3,4,12,0.0001,adam,-,+,+,-,+,-,-,-,-,+,-,0.6866328257191201,0.8116,0.7439046746104491,0.7206
nn,-,3,4,12,0.0001,adam,-,+,+,-,+,-,-,-,-,-,-,0.6861214794706482,0.8088,0.7424270240499357,0.7194
nn,-,3,4,12,0.0001,adam,-,+,+,+,+,-,-,-,-,+,-,0.6617336152219874,0.626,0.643371017471737,0.653
nn,-,3,4,12,0.0001,adam,-,+,-,-,+,-,-,-,-,-,-,0.6182735426008968,0.8824,0.7270929466051417,0.6688
nn,-,3,4,12,0.0001,adam,-,+,+,+,+,-,-,-,-,-,-,0.6453686200378072,0.6828,0.6635568513119533,0.6538
nn,-,3,4,12,0.0001,adam,-,+,-,-,+,-,-,-,-,+,-,0.648029639609296,0.7696,0.703602121045895,0.6758
nn,-,3,4,12,0.0001,adam,-,+,+,-,-,-,-,-,-,-,-,0.6627272727272727,0.8748,0.7541379310344828,0.7148
nn,-,3,4,12,0.0001,adam,-,-,-,+,+,-,-,-,-,-,-,0.6179624664879356,0.922,0.739967897271268,0.676
nn,-,3,4,12,0.0001,adam,-,-,-,+,+,-,-,-,-,+,-,0.6162758620689656,0.8936,0.729469387755102,0.6686
nn,-,3,4,12,0.0001,adam,-,-,+,-,+,-,-,-,-,+,-,0.6149285906763675,0.9128,0.7348253099339881,0.6706
nn,-,3,4,12,0.0001,adam,-,+,+,+,-,-,-,-,-,-,-,0.6578019865427748,0.8212,0.7304750044476073,0.697
nn,-,3,4,12,0.0001,adam,-,-,+,-,+,-,-,-,-,-,-,0.6062775330396476,0.8808,0.7181996086105674,0.6544
nn,-,3,4,12,0.0001,adam,-,-,+,+,+,-,-,-,-,+,-,0.651313285116102,0.6844,0.6674468500097522,0.659
nn,-,3,4,12,0.0001,adam,-,+,-,+,+,-,-,-,-,-,-,0.6072414851181344,0.7916,0.6872720958499738,0.6398
nn,-,3,4,12,0.0001,adam,-,+,-,+,+,-,-,-,-,+,-,0.6254416961130742,0.7788,0.6937466595403529,0.6562
nn,-,3,4,12,0.0001,adam,-,+,+,+,-,-,-,-,-,+,-,0.6441834028040925,0.68,0.6616073165985601,0.6522
nn,-,3,4,12,0.0001,adam,-,+,+,-,-,-,-,-,-,+,-,0.6421691045308598,0.72,0.6788610220629833,0.6594
nn,-,3,4,12,0.0001,adam,-,-,+,+,+,-,-,-,-,-,-,0.605629348513599,0.766,0.6764394206993996,0.6336
nn,-,3,4,12,0.0001,adam,-,+,-,-,-,-,-,-,-,+,-,0.6109232769830949,0.9396,0.7404255319148936,0.6706
nn,-,3,4,12,0.0001,adam,-,+,-,-,-,-,-,-,-,-,-,0.6053777208706786,0.9456,0.7381733021077282,0.6646
nn,-,3,4,12,0.0001,adam,-,+,+,+,+,+,-,-,-,+,-,0.6809547004383829,0.5592,0.6141005930155942,0.6486
nn,-,3,4,12,0.0001,adam,-,+,-,+,-,-,-,-,-,+,-,0.6085131894484412,0.812,0.6956819739547636,0.6448
nn,-,3,4,12,0.0001,adam,-,+,-,+,-,-,-,-,-,-,-,0.6037684325505188,0.8844,0.7176241480038947,0.652
nn,-,3,4,12,0.0001,adam,-,+,+,-,+,+,-,-,-,-,-,0.7057800956106041,0.6496,0.67652572380754,0.6894
nn,-,3,4,12,0.0001,adam,-,+,+,-,+,+,-,-,-,+,-,0.708029197080292,0.582,0.6388583973655323,0.671
nn,-,3,4,12,0.0001,adam,-,+,+,+,+,+,-,-,-,-,-,0.6765180010746911,0.5036,0.5773905067645035,0.6314
nn,-,3,4,12,0.0001,adam,-,-,+,-,-,-,-,-,-,-,-,0.6077304779315749,0.9308,0.7353452362142519,0.665
nn,-,3,4,12,0.0001,adam,-,+,-,+,-,+,+,+,-,+,-,0.8247549019607843,0.2692,0.4059107358262967,0.606
nn,-,3,4,12,0.0001,adam,-,+,-,+,+,+,+,+,-,+,-,0.851010101010101,0.2696,0.4094775212636695,0.6112
