model,classifier,nn_number,epochs,batch-size,learning-rate,optimizer,normalize-features,tense,voice,pronouns,named-entities,sentiment,pos-tags,dep-tags,sentences,domain,sentence-similarity,precision,recall,f1,accuracy
traditional,svm,-,-,-,-,-,-,+,+,+,+,+,+,-,-,+,-,0.7619392185238785,0.4212,0.5425038639876353,0.6448
traditional,svm,-,-,-,-,-,-,+,+,+,+,+,+,-,-,-,-,0.7364285714285714,0.4124,0.5287179487179486,0.6324
traditional,svm,-,-,-,-,-,-,+,+,+,+,+,-,-,-,+,-,0.6708603896103896,0.6612,0.6659951651893635,0.6684
traditional,svm,-,-,-,-,-,-,+,+,+,+,+,-,-,-,-,-,0.6619547657512116,0.6556,0.6587620578778134,0.6604
traditional,svm,-,-,-,-,-,-,+,+,+,+,-,+,-,-,+,-,0.7258805513016845,0.3792,0.49816079873883345,0.618
traditional,svm,-,-,-,-,-,-,+,+,+,+,-,+,-,-,-,-,0.698295033358043,0.3768,0.48947778643803586,0.607
traditional,svm,-,-,-,-,-,-,+,+,+,+,-,-,-,-,+,-,0.6428985507246376,0.8872,0.745546218487395,0.6972
traditional,svm,-,-,-,-,-,-,+,+,+,+,-,-,-,-,-,-,0.6359699769053118,0.8812,0.7387659289067741,0.6884
traditional,svm,-,-,-,-,-,-,+,+,+,-,+,+,-,-,+,-,0.7604017216642754,0.424,0.544427324088341,0.6452
traditional,svm,-,-,-,-,-,-,+,+,+,-,+,+,-,-,-,-,0.7368045649072753,0.4132,0.5294720656073809,0.6328
traditional,svm,-,-,-,-,-,-,+,+,+,-,+,-,-,-,+,-,0.6485507246376812,0.6444,0.6464686998394863,0.6476
traditional,svm,-,-,-,-,-,-,+,+,+,-,+,-,-,-,-,-,0.6516492357200322,0.648,0.6498194945848376,0.6508
traditional,svm,-,-,-,-,-,-,+,+,+,-,-,+,-,-,+,-,0.7268553940321346,0.38,0.4990806409246126,0.6186
traditional,svm,-,-,-,-,-,-,+,+,+,-,-,+,-,-,-,-,0.7009622501850481,0.3788,0.49182030641391844,0.6086
traditional,svm,-,-,-,-,-,-,+,+,+,-,-,-,-,-,+,-,0.6317469529889728,0.8708,0.7322569794820047,0.6816
traditional,svm,-,-,-,-,-,-,+,+,+,-,-,-,-,-,-,-,0.6336719883889695,0.8732,0.7343986543313707,0.6842
traditional,svm,-,-,-,-,-,-,+,+,-,+,+,+,-,-,+,-,0.7668356263577119,0.4236,0.5457356351455811,0.6474
traditional,svm,-,-,-,-,-,-,+,+,-,+,+,+,-,-,-,-,0.7310686482661005,0.4132,0.527983644262714,0.6306
traditional,svm,-,-,-,-,-,-,+,+,-,+,+,-,-,-,+,-,0.6644,0.6644,0.6644,0.6644
traditional,svm,-,-,-,-,-,-,+,+,-,+,+,-,-,-,-,-,0.6662655435218612,0.6644,0.6653314640496696,0.6658
traditional,svm,-,-,-,-,-,-,+,+,-,+,-,+,-,-,+,-,0.7296489917849142,0.3908,0.5089867152904403,0.623
traditional,svm,-,-,-,-,-,-,+,+,-,+,-,+,-,-,-,-,0.698821796759941,0.3796,0.4919647485743909,0.608
traditional,svm,-,-,-,-,-,-,+,+,-,+,-,-,-,-,+,-,0.6458635703918723,0.89,0.7485281749369217,0.701
traditional,svm,-,-,-,-,-,-,+,+,-,+,-,-,-,-,-,-,0.6435815705592581,0.8884,0.7464291715678036,0.6982
traditional,svm,-,-,-,-,-,-,+,+,-,-,+,+,-,-,+,-,0.7672910662824207,0.426,0.5478395061728395,0.6484
traditional,svm,-,-,-,-,-,-,+,+,-,-,+,+,-,-,-,-,0.7318634423897582,0.4116,0.5268817204301075,0.6304
traditional,svm,-,-,-,-,-,-,+,+,-,-,+,-,-,-,+,-,0.6527833400080096,0.652,0.6523914348609166,0.6526
traditional,svm,-,-,-,-,-,-,+,+,-,-,+,-,-,-,-,-,0.6568236233040702,0.6584,0.6576108669596483,0.6572
traditional,svm,-,-,-,-,-,-,+,+,-,-,-,+,-,-,+,-,0.7343867569601203,0.3904,0.5097936798119613,0.6246
traditional,svm,-,-,-,-,-,-,+,+,-,-,-,+,-,-,-,-,0.7000736919675755,0.38,0.49261083743842365,0.6086
traditional,svm,-,-,-,-,-,-,+,+,-,-,-,-,-,-,+,-,0.6325160537069469,0.8668,0.731353358083024,0.6816
traditional,svm,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,0.637430331475506,0.8692,0.7354882382805888,0.6874
traditional,svm,-,-,-,-,-,-,+,-,+,+,+,+,-,-,+,-,0.7635574837310195,0.4224,0.5439093484419264,0.6458
traditional,svm,-,-,-,-,-,-,+,-,+,+,+,+,-,-,-,-,0.7360226468506723,0.416,0.53156146179402,0.6334
traditional,svm,-,-,-,-,-,-,+,-,+,+,+,-,-,-,+,-,0.6408655846858095,0.616,0.6281868243932287,0.6354
traditional,svm,-,-,-,-,-,-,+,-,+,+,+,-,-,-,-,-,0.6319043693322342,0.6132,0.6224116930572472,0.628
traditional,svm,-,-,-,-,-,-,+,-,+,+,-,+,-,-,+,-,0.7247915087187263,0.3824,0.5006546216286987,0.6186
traditional,svm,-,-,-,-,-,-,+,-,+,+,-,+,-,-,-,-,0.6967694566813509,0.3796,0.4914552045572243,0.6072
traditional,svm,-,-,-,-,-,-,+,-,+,+,-,-,-,-,+,-,0.628281117696867,0.8904,0.7367201720999503,0.6818
traditional,svm,-,-,-,-,-,-,+,-,+,+,-,-,-,-,-,-,0.6280044717719396,0.8988,0.7393879565646595,0.6832
traditional,svm,-,-,-,-,-,-,+,-,+,-,+,+,-,-,+,-,0.7651296829971181,0.4248,0.5462962962962963,0.6472
traditional,svm,-,-,-,-,-,-,+,-,+,-,+,+,-,-,-,-,0.7380782918149467,0.4148,0.5311139564660692,0.6338
traditional,svm,-,-,-,-,-,-,+,-,+,-,+,-,-,-,+,-,0.6217637540453075,0.6148,0.6182622687047467,0.6204
traditional,svm,-,-,-,-,-,-,+,-,+,-,+,-,-,-,-,-,0.6224283985478015,0.6172,0.6198031733279774,0.6214
traditional,svm,-,-,-,-,-,-,+,-,+,-,-,+,-,-,+,-,0.7271341463414634,0.3816,0.5005246589716684,0.6192
traditional,svm,-,-,-,-,-,-,+,-,+,-,-,+,-,-,-,-,0.6967694566813509,0.3796,0.4914552045572243,0.6072
traditional,svm,-,-,-,-,-,-,+,-,+,-,-,-,-,-,+,-,0.6173012318029115,0.882,0.7262845849802372,0.6676
traditional,svm,-,-,-,-,-,-,+,-,+,-,-,-,-,-,-,-,0.6172181716208637,0.8804,0.725684141114408,0.6672
traditional,svm,-,-,-,-,-,-,+,-,-,+,+,+,-,-,+,-,0.7606344628695025,0.422,0.5428350913300746,0.6446
traditional,svm,-,-,-,-,-,-,+,-,-,+,+,+,-,-,-,-,0.732574679943101,0.412,0.5273937532002049,0.6308
traditional,svm,-,-,-,-,-,-,+,-,-,+,+,-,-,-,+,-,0.6509695290858726,0.658,0.6544658842251839,0.6526
traditional,svm,-,-,-,-,-,-,+,-,-,+,+,-,-,-,-,-,0.6488941548183255,0.6572,0.65302066772655,0.6508
traditional,svm,-,-,-,-,-,-,+,-,-,+,-,+,-,-,+,-,0.7315233785822021,0.388,0.5070569785676947,0.6228
traditional,svm,-,-,-,-,-,-,+,-,-,+,-,+,-,-,-,-,0.697503671071953,0.38,0.4919730709476955,0.6076
traditional,svm,-,-,-,-,-,-,+,-,-,+,-,-,-,-,+,-,0.6322453573438379,0.8988,0.7423191278493558,0.688
